type	time	latitude	longitude	altitude (m)	pace (min/km)	distance (km)	distance_interval (m)	hr	name	desc
T	2021-03-07 07:53:45	51.479511000	-0.009912000	7.2	5.12	0.921	3.26			
T	2021-03-07 07:53:46	51.479533000	-0.009884000	7.2	5.33	0.924	3.13			
T	2021-03-07 07:53:47	51.479566000	-0.009879000	7.2	4.52	0.928	3.69			
T	2021-03-07 07:53:48	51.479596000	-0.009878000	7.2	4.99	0.931	3.34			
T	2021-03-07 07:53:49	51.479630000	-0.009850000	7.2	3.92	0.935	4.25			
T	2021-03-07 07:53:50	51.479642000	-0.009840000	7.2	11.07	0.937	1.51			
T	2021-03-07 07:53:51	51.479681000	-0.009813000	7.2	3.53	0.941	4.73			
T	2021-03-07 07:53:52	51.479698000	-0.009805000	7.2	8.45	0.943	1.97			
T	2021-03-07 07:53:53	51.479709000	-0.009753000	7.2	4.37	0.947	3.81			
T	2021-03-07 07:53:54	51.479741000	-0.009730000	7.2	4.27	0.951	3.90			
T	2021-03-07 07:53:55	51.479746000	-0.009708000	7.2	10.25	0.953	1.63			
T	2021-03-07 07:53:56	51.479777000	-0.009676000	7.2	4.06	0.957	4.10			
T	2021-03-07 07:53:57	51.479783000	-0.009657000	7.2	11.27	0.958	1.48			
T	2021-03-07 07:53:58	51.479816000	-0.009633000	7.2	4.13	0.962	4.03			
T	2021-03-07 07:53:59	51.479824000	-0.009611000	7.2	9.42	0.964	1.77			
T	2021-03-07 07:54:00	51.479849000	-0.009587000	7.2	5.14	0.967	3.24			
T	2021-03-07 07:54:01	51.479879000	-0.009632000	7.3	3.64	0.972	4.57			
T	2021-03-07 07:54:02	51.479918000	-0.009642000	7.3	3.79	0.976	4.39			
T	2021-03-07 07:54:03	51.479937000	-0.009647000	7.3	7.78	0.978	2.14			
T	2021-03-07 07:54:04	51.479971000	-0.009634000	7.3	4.29	0.982	3.89			
T	2021-03-07 07:54:05	51.479987000	-0.009632000	7.3	9.33	0.984	1.79			
T	2021-03-07 07:54:06	51.480014000	-0.009622000	7.3	5.41	0.987	3.08			
T	2021-03-07 07:54:07	51.480048000	-0.009601000	7.3	4.11	0.991	4.05			
T	2021-03-07 07:54:08	51.480061000	-0.009593000	7.3	10.76	0.993	1.55			
T	2021-03-07 07:54:09	51.480092000	-0.009560000	7.3	4.02	0.997	4.14			
T	2021-03-07 07:54:10	51.480100000	-0.009549000	7.3	14.21	0.998	1.17			
T	2021-03-07 07:54:11	51.480134000	-0.009581000	7.3	3.80	1.003	4.39			
T	2021-03-07 07:54:12	51.480163000	-0.009572000	7.3	5.07	1.006	3.29			
T	2021-03-07 07:54:13	51.480199000	-0.009557000	7.3	4.03	1.010	4.14			
T	2021-03-07 07:54:14	51.480209000	-0.009551000	7.3	14.03	1.011	1.19			
T	2021-03-07 07:54:15	51.480241000	-0.009528000	7.2	4.27	1.015	3.90			
T	2021-03-07 07:54:16	51.480253000	-0.009520000	7.2	11.52	1.016	1.45			
T	2021-03-07 07:54:17	51.480276000	-0.009483000	7.1	4.60	1.020	3.63			
T	2021-03-07 07:54:18	51.480294000	-0.009445000	7.1	5.03	1.023	3.31			
T	2021-03-07 07:54:19	51.480310000	-0.009406000	7.0	5.14	1.027	3.24			
T	2021-03-07 07:54:20	51.480345000	-0.009385000	6.9	4.01	1.031	4.16			
T	2021-03-07 07:54:21	51.480357000	-0.009375000	6.9	11.07	1.032	1.51			
T	2021-03-07 07:54:22	51.480379000	-0.009349000	6.8	5.48	1.035	3.04			
T	2021-03-07 07:54:23	51.480410000	-0.009344000	6.8	4.81	1.039	3.47			
T	2021-03-07 07:54:24	51.480441000	-0.009324000	6.7	4.48	1.043	3.72			
T	2021-03-07 07:54:25	51.480450000	-0.009319000	6.7	15.73	1.044	1.06			
T	2021-03-07 07:54:26	51.480486000	-0.009305000	6.6	4.04	1.048	4.12			
T	2021-03-07 07:54:27	51.480496000	-0.009304000	6.6	14.95	1.049	1.11			
T	2021-03-07 07:54:28	51.480530000	-0.009318000	6.6	4.27	1.053	3.91			
T	2021-03-07 07:54:29	51.480541000	-0.009320000	6.6	13.53	1.054	1.23			
T	2021-03-07 07:54:30	51.480571000	-0.009320000	6.5	4.99	1.057	3.34			
T	2021-03-07 07:54:31	51.480604000	-0.009337000	6.5	4.32	1.061	3.86			
T	2021-03-07 07:54:32	51.480617000	-0.009342000	6.4	11.20	1.063	1.49			
T	2021-03-07 07:54:33	51.480650000	-0.009339000	6.4	4.53	1.066	3.68			
T	2021-03-07 07:54:34	51.480680000	-0.009359000	6.4	4.61	1.070	3.62			
T	2021-03-07 07:54:35	51.480688000	-0.009379000	6.3	10.10	1.072	1.65			
T	2021-03-07 07:54:36	51.480720000	-0.009412000	6.3	3.94	1.076	4.23			
T	2021-03-07 07:54:37	51.480729000	-0.009424000	6.3	12.79	1.077	1.30			
T	2021-03-07 07:54:38	51.480753000	-0.009450000	6.3	5.17	1.080	3.22			
T	2021-03-07 07:54:39	51.480781000	-0.009490000	6.3	3.99	1.085	4.17			
T	2021-03-07 07:54:40	51.480791000	-0.009499000	6.3	13.06	1.086	1.28			
T	2021-03-07 07:54:41	51.480800000	-0.009558000	6.2	3.95	1.090	4.22			
T	2021-03-07 07:54:42	51.480802000	-0.009575000	6.2	13.87	1.091	1.20			
T	2021-03-07 07:54:43	51.480829000	-0.009619000	6.2	3.89	1.096	4.29			
T	2021-03-07 07:54:44	51.480840000	-0.009632000	6.1	10.96	1.097	1.52			
T	2021-03-07 07:54:45	51.480872000	-0.009661000	6.1	4.07	1.101	4.09			
T	2021-03-07 07:54:46	51.480892000	-0.009660000	6.1	7.49	1.103	2.23			
T	2021-03-07 07:54:47	51.480905000	-0.009699000	6.0	5.43	1.106	3.07			
T	2021-03-07 07:54:49	51.480940000	-0.009727000	6.0	7.66	1.111	4.35			
T	2021-03-07 07:54:50	51.480953000	-0.009734000	6.0	10.92	1.112	1.53			
T	2021-03-07 07:54:51	51.480978000	-0.009757000	5.9	5.20	1.116	3.21			
T	2021-03-07 07:54:52	51.480998000	-0.009791000	5.9	5.14	1.119	3.25			
T	2021-03-07 07:54:53	51.481030000	-0.009793000	5.9	4.68	1.122	3.56			
T	2021-03-07 07:54:54	51.481060000	-0.009809000	5.8	4.74	1.126	3.52			
T	2021-03-07 07:54:55	51.481083000	-0.009840000	5.8	4.98	1.129	3.34			
T	2021-03-07 07:54:56	51.481107000	-0.009866000	5.8	5.17	1.132	3.22			
T	2021-03-07 07:54:57	51.481115000	-0.009880000	5.8	12.64	1.134	1.32			
T	2021-03-07 07:54:58	51.481150000	-0.009900000	5.7	4.03	1.138	4.13			
T	2021-03-07 07:54:59	51.481160000	-0.009910000	5.7	12.71	1.139	1.31			
T	2021-03-07 07:55:00	51.481187000	-0.009926000	5.7	5.20	1.142	3.20			
T	2021-03-07 07:55:01	51.481219000	-0.009947000	5.6	4.33	1.146	3.85			
T	2021-03-07 07:55:02	51.481227000	-0.009962000	5.6	12.16	1.148	1.37			
T	2021-03-07 07:55:03	51.481255000	-0.009992000	5.6	4.45	1.151	3.75			
T	2021-03-07 07:55:04	51.481260000	-0.010001000	5.6	19.92	1.152	0.84			
T	2021-03-07 07:55:05	51.481296000	-0.010026000	5.5	3.82	1.157	4.37			
T	2021-03-07 07:55:06	51.481307000	-0.010044000	5.5	9.53	1.158	1.75			
T	2021-03-07 07:55:07	51.481333000	-0.010088000	5.5	3.96	1.163	4.21			
T	2021-03-07 07:55:08	51.481341000	-0.010104000	5.5	11.70	1.164	1.42			
T	2021-03-07 07:55:09	51.481376000	-0.010114000	5.4	4.21	1.168	3.96			
T	2021-03-07 07:55:10	51.481388000	-0.010118000	5.4	12.22	1.169	1.36			
T	2021-03-07 07:55:11	51.481427000	-0.010113000	5.4	3.83	1.174	4.35			
T	2021-03-07 07:55:12	51.481439000	-0.010114000	5.4	12.47	1.175	1.34			
T	2021-03-07 07:55:13	51.481476000	-0.010114000	5.3	4.05	1.179	4.12			
T	2021-03-07 07:55:14	51.481486000	-0.010116000	5.3	14.86	1.180	1.12			
T	2021-03-07 07:55:15	51.481520000	-0.010115000	5.3	4.41	1.184	3.78			
T	2021-03-07 07:55:16	51.481533000	-0.010114000	5.3	11.51	1.185	1.45			
T	2021-03-07 07:55:17	51.481569000	-0.010116000	5.3	4.16	1.189	4.01			
T	2021-03-07 07:55:18	51.481578000	-0.010125000	5.3	14.12	1.191	1.18			
T	2021-03-07 07:55:19	51.481617000	-0.010167000	5.3	3.19	1.196	5.23			
T	2021-03-07 07:55:20	51.481631000	-0.010192000	5.3	7.14	1.198	2.33			
T	2021-03-07 07:55:21	51.481671000	-0.010193000	5.3	3.74	1.203	4.45			
T	2021-03-07 07:55:22	51.481684000	-0.010195000	5.3	11.47	1.204	1.45			
T	2021-03-07 07:55:23	51.481717000	-0.010186000	5.3	4.48	1.208	3.72			
T	2021-03-07 07:55:24	51.481768000	-0.010190000	5.3	2.93	1.213	5.68			
T	2021-03-07 07:55:25	51.481797000	-0.010191000	5.3	5.16	1.217	3.23			
T	2021-03-07 07:55:26	51.481827000	-0.010194000	5.2	4.98	1.220	3.34			
T	2021-03-07 07:55:27	51.481848000	-0.010229000	5.2	4.94	1.223	3.37			
T	2021-03-07 07:55:28	51.481877000	-0.010204000	5.2	4.55	1.227	3.66			
T	2021-03-07 07:55:29	51.481915000	-0.010211000	5.2	3.92	1.231	4.26			
T	2021-03-07 07:55:30	51.481930000	-0.010203000	5.1	9.48	1.233	1.76			
T	2021-03-07 07:55:31	51.481966000	-0.010180000	5.1	3.87	1.237	4.31			
T	2021-03-07 07:55:32	51.481978000	-0.010167000	5.1	10.34	1.239	1.61			
T	2021-03-07 07:55:33	51.482016000	-0.010179000	5.1	3.87	1.243	4.31			
T	2021-03-07 07:55:34	51.482029000	-0.010182000	5.1	11.41	1.245	1.46			
T	2021-03-07 07:55:35	51.482050000	-0.010131000	5.0	3.93	1.249	4.24			
T	2021-03-07 07:55:36	51.482079000	-0.010140000	5.0	5.07	1.252	3.29			
T	2021-03-07 07:55:37	51.482110000	-0.010138000	5.0	4.83	1.256	3.45			
T	2021-03-07 07:55:38	51.482134000	-0.010107000	5.0	4.86	1.259	3.43			
T	2021-03-07 07:55:39	51.482167000	-0.010102000	5.0	4.52	1.263	3.69			
T	2021-03-07 07:55:40	51.482175000	-0.010111000	5.0	15.32	1.264	1.09			
T	2021-03-07 07:55:41	51.482205000	-0.010121000	5.0	4.89	1.267	3.41			
T	2021-03-07 07:55:42	51.482240000	-0.010119000	5.0	4.28	1.271	3.90			
T	2021-03-07 07:55:43	51.482254000	-0.010114000	5.0	10.44	1.273	1.60			
T	2021-03-07 07:55:44	51.482293000	-0.010096000	5.0	3.69	1.277	4.52			
T	2021-03-07 07:55:45	51.482307000	-0.010089000	5.0	10.21	1.279	1.63			
T	2021-03-07 07:55:46	51.482342000	-0.010068000	5.0	4.01	1.283	4.16			
T	2021-03-07 07:55:47	51.482354000	-0.010058000	5.0	11.07	1.285	1.51			
T	2021-03-07 07:55:48	51.482385000	-0.010059000	5.0	4.83	1.288	3.45			
T	2021-03-07 07:55:49	51.482412000	-0.010028000	5.0	4.51	1.292	3.70			
T	2021-03-07 07:55:50	51.482426000	-0.010021000	5.0	10.21	1.293	1.63			
T	2021-03-07 07:55:51	51.482466000	-0.010000000	5.1	3.56	1.298	4.68			
T	2021-03-07 07:55:52	51.482483000	-0.009998000	5.1	8.79	1.300	1.90			
T	2021-03-07 07:55:53	51.482516000	-0.009984000	5.1	4.39	1.304	3.80			
T	2021-03-07 07:55:54	51.482531000	-0.009982000	5.1	9.95	1.306	1.67			
T	2021-03-07 07:55:55	51.482562000	-0.009973000	5.1	4.75	1.309	3.51			
T	2021-03-07 07:55:56	51.482593000	-0.009964000	5.1	4.75	1.313	3.51			
T	2021-03-07 07:55:57	51.482621000	-0.009960000	5.1	5.33	1.316	3.13			
T	2021-03-07 07:55:58	51.482649000	-0.009968000	5.1	5.27	1.319	3.16			
T	2021-03-07 07:55:59	51.482677000	-0.009952000	5.1	5.04	1.322	3.31			
T	2021-03-07 07:56:00	51.482719000	-0.009932000	5.2	3.42	1.327	4.87			
T	2021-03-07 07:56:01	51.482737000	-0.009921000	5.2	7.78	1.329	2.14			
T	2021-03-07 07:56:02	51.482767000	-0.009905000	5.2	4.74	1.333	3.52			
T	2021-03-07 07:56:03	51.482807000	-0.009906000	5.2	3.74	1.337	4.45			
T	2021-03-07 07:56:04	51.482820000	-0.009903000	5.2	11.41	1.339	1.46			
T	2021-03-07 07:56:05	51.482863000	-0.009882000	5.2	3.33	1.344	5.00			
T	2021-03-07 07:56:06	51.482879000	-0.009868000	5.2	8.22	1.346	2.03			
T	2021-03-07 07:56:07	51.482907000	-0.009873000	5.2	5.32	1.349	3.13			
T	2021-03-07 07:56:08	51.482945000	-0.009865000	5.2	3.91	1.353	4.26			
T	2021-03-07 07:56:09	51.482959000	-0.009867000	5.2	10.66	1.355	1.56			
T	2021-03-07 07:56:10	51.482998000	-0.009872000	5.3	3.83	1.359	4.35			
T	2021-03-07 07:56:11	51.483012000	-0.009875000	5.3	10.61	1.361	1.57			
T	2021-03-07 07:56:12	51.483049000	-0.009895000	5.3	3.84	1.365	4.34			
T	2021-03-07 07:56:13	51.483061000	-0.009902000	5.3	11.73	1.366	1.42			
T	2021-03-07 07:56:14	51.483097000	-0.009905000	5.3	4.16	1.370	4.01			
T	2021-03-07 07:56:15	51.483110000	-0.009903000	5.3	11.47	1.372	1.45			
T	2021-03-07 07:56:16	51.483141000	-0.009897000	5.3	4.80	1.375	3.47			
T	2021-03-07 07:56:17	51.483179000	-0.009888000	5.4	3.90	1.379	4.27			
T	2021-03-07 07:56:18	51.483192000	-0.009883000	5.4	11.20	1.381	1.49			
T	2021-03-07 07:56:19	51.483230000	-0.009891000	5.4	3.91	1.385	4.26			
T	2021-03-07 07:56:20	51.483242000	-0.009896000	5.4	12.08	1.387	1.38			
T	2021-03-07 07:56:21	51.483267000	-0.009879000	5.4	5.52	1.390	3.02			
T	2021-03-07 07:56:22	51.483292000	-0.009842000	5.4	4.40	1.393	3.79			
T	2021-03-07 07:56:23	51.483299000	-0.009817000	5.4	8.76	1.395	1.90			
T	2021-03-07 07:56:24	51.483309000	-0.009774000	5.4	5.23	1.399	3.19			
T	2021-03-07 07:56:25	51.483318000	-0.009761000	5.4	12.36	1.400	1.35			
T	2021-03-07 07:56:26	51.483346000	-0.009717000	5.4	3.82	1.404	4.36			
T	2021-03-07 07:56:27	51.483354000	-0.009700000	5.4	11.27	1.406	1.48			
T	2021-03-07 07:56:28	51.483363000	-0.009654000	5.4	4.98	1.409	3.35			
T	2021-03-07 07:56:29	51.483388000	-0.009602000	5.3	3.66	1.414	4.56			
T	2021-03-07 07:56:30	51.483397000	-0.009577000	5.3	8.31	1.416	2.00			
T	2021-03-07 07:56:31	51.483405000	-0.009534000	5.3	5.35	1.419	3.12			
T	2021-03-07 07:56:32	51.483423000	-0.009489000	5.3	4.49	1.422	3.71			
T	2021-03-07 07:56:33	51.483430000	-0.009465000	5.3	9.06	1.424	1.84			
T	2021-03-07 07:56:34	51.483435000	-0.009438000	5.3	8.52	1.426	1.96			
T	2021-03-07 07:56:35	51.483457000	-0.009405000	5.3	4.97	1.430	3.35			
T	2021-03-07 07:56:36	51.483467000	-0.009354000	5.3	4.49	1.433	3.71			
T	2021-03-07 07:56:37	51.483471000	-0.009334000	5.3	11.42	1.435	1.46			
T	2021-03-07 07:56:38	51.483473000	-0.009276000	5.3	4.13	1.439	4.04			
T	2021-03-07 07:56:39	51.483470000	-0.009257000	5.2	12.24	1.440	1.36			
T	2021-03-07 07:56:40	51.483477000	-0.009196000	5.2	3.87	1.444	4.31			
T	2021-03-07 07:56:41	51.483484000	-0.009146000	5.2	4.68	1.448	3.56			
T	2021-03-07 07:56:42	51.483492000	-0.009099000	5.2	4.93	1.451	3.38			
T	2021-03-07 07:56:43	51.483502000	-0.009071000	5.2	7.44	1.454	2.24			
T	2021-03-07 07:56:44	51.483491000	-0.009055000	5.2	10.08	1.455	1.65			
T	2021-03-07 07:56:45	51.483480000	-0.009042000	5.2	10.96	1.457	1.52			
T	2021-03-07 07:56:46	51.483492000	-0.008997000	5.2	4.90	1.460	3.40			
T	2021-03-07 07:56:47	51.483516000	-0.008942000	5.2	3.58	1.465	4.66			
T	2021-03-07 07:56:48	51.483527000	-0.008919000	5.2	8.28	1.467	2.01			
T	2021-03-07 07:56:49	51.483556000	-0.008879000	5.2	3.91	1.471	4.26			
T	2021-03-07 07:56:50	51.483572000	-0.008875000	5.2	9.25	1.473	1.80			
T	2021-03-07 07:56:51	51.483574000	-0.008823000	5.2	4.61	1.477	3.62			
T	2021-03-07 07:56:52	51.483589000	-0.008782000	5.2	5.05	1.480	3.30			
T	2021-03-07 07:56:53	51.483590000	-0.008730000	5.2	4.61	1.484	3.61			
T	2021-03-07 07:56:55	51.483596000	-0.008652000	5.2	6.11	1.489	5.46			
T	2021-03-07 07:56:56	51.483589000	-0.008585000	5.1	3.53	1.494	4.72			
T	2021-03-07 07:56:57	51.483594000	-0.008555000	5.1	7.73	1.496	2.16			
T	2021-03-07 07:56:58	51.483593000	-0.008500000	5.0	4.36	1.500	3.82			
T	2021-03-07 07:56:59	51.483595000	-0.008478000	5.0	10.79	1.501	1.54			
T	2021-03-07 07:57:00	51.483604000	-0.008426000	4.9	4.45	1.505	3.75			
T	2021-03-07 07:57:01	51.483606000	-0.008407000	4.9	12.45	1.506	1.34			
T	2021-03-07 07:57:02	51.483589000	-0.008361000	4.8	4.49	1.510	3.71			
T	2021-03-07 07:57:03	51.483581000	-0.008345000	4.8	11.70	1.511	1.42			
T	2021-03-07 07:57:04	51.483551000	-0.008341000	4.7	4.98	1.515	3.35			
T	2021-03-07 07:57:05	51.483525000	-0.008315000	4.7	4.89	1.518	3.41			
T	2021-03-07 07:57:06	51.483521000	-0.008301000	4.7	15.58	1.519	1.07			
T	2021-03-07 07:57:07	51.483490000	-0.008264000	4.7	3.87	1.524	4.30			
T	2021-03-07 07:57:08	51.483471000	-0.008214000	4.6	4.10	1.528	4.07			
T	2021-03-07 07:57:09	51.483472000	-0.008188000	4.6	9.21	1.529	1.81			
T	2021-03-07 07:57:10	51.483476000	-0.008129000	4.6	4.04	1.534	4.12			
T	2021-03-07 07:57:11	51.483479000	-0.008107000	4.6	10.65	1.535	1.56			
T	2021-03-07 07:57:12	51.483488000	-0.008058000	4.6	4.70	1.539	3.55			
T	2021-03-07 07:57:13	51.483494000	-0.008016000	4.5	5.57	1.542	2.99			
T	2021-03-07 07:57:14	51.483513000	-0.007972000	4.5	4.48	1.545	3.72			
T	2021-03-07 07:57:15	51.483539000	-0.007924000	4.5	3.78	1.550	4.41			
T	2021-03-07 07:57:16	51.483553000	-0.007908000	4.5	8.71	1.552	1.91			
T	2021-03-07 07:57:17	51.483563000	-0.007855000	4.5	4.33	1.556	3.85			
T	2021-03-07 07:57:18	51.483571000	-0.007830000	4.5	8.54	1.558	1.95			
T	2021-03-07 07:57:19	51.483580000	-0.007781000	4.5	4.70	1.561	3.55			
T	2021-03-07 07:57:20	51.483587000	-0.007770000	4.5	15.28	1.562	1.09			
T	2021-03-07 07:57:21	51.483592000	-0.007725000	4.5	5.25	1.565	3.18			
T	2021-03-07 07:57:22	51.483602000	-0.007683000	4.5	5.34	1.568	3.12			
T	2021-03-07 07:57:23	51.483632000	-0.007612000	4.5	2.80	1.574	5.96			
T	2021-03-07 07:57:24	51.483647000	-0.007559000	4.5	4.12	1.578	4.04			
T	2021-03-07 07:57:25	51.483655000	-0.007535000	4.5	8.82	1.580	1.89			
T	2021-03-07 07:57:26	51.483663000	-0.007491000	4.5	5.24	1.584	3.18			
T	2021-03-07 07:57:27	51.483686000	-0.007459000	4.5	4.92	1.587	3.39			
T	2021-03-07 07:57:28	51.483698000	-0.007397000	4.5	3.70	1.591	4.51			
T	2021-03-07 07:57:29	51.483707000	-0.007376000	4.5	9.42	1.593	1.77			
T	2021-03-07 07:57:30	51.483724000	-0.007330000	4.5	4.49	1.597	3.71			
T	2021-03-07 07:57:31	51.483730000	-0.007313000	4.5	12.29	1.598	1.36			
T	2021-03-07 07:57:32	51.483750000	-0.007259000	4.5	3.82	1.603	4.36			
T	2021-03-07 07:57:33	51.483756000	-0.007242000	4.5	12.29	1.604	1.36			
T	2021-03-07 07:57:34	51.483783000	-0.007201000	4.5	4.03	1.608	4.14			
T	2021-03-07 07:57:35	51.483796000	-0.007163000	4.5	5.54	1.611	3.01			
T	2021-03-07 07:57:36	51.483807000	-0.007110000	4.5	4.30	1.615	3.88			
T	2021-03-07 07:57:37	51.483811000	-0.007092000	4.5	12.56	1.616	1.33			
T	2021-03-07 07:57:38	51.483809000	-0.007048000	4.5	5.44	1.619	3.06			
T	2021-03-07 07:57:39	51.483819000	-0.007007000	4.4	5.45	1.622	3.06			
T	2021-03-07 07:57:40	51.483833000	-0.006953000	4.4	4.10	1.627	4.06			
T	2021-03-07 07:57:41	51.483844000	-0.006933000	4.4	9.00	1.628	1.85			
T	2021-03-07 07:57:42	51.483867000	-0.006881000	4.4	3.77	1.633	4.43			
T	2021-03-07 07:57:43	51.483875000	-0.006862000	4.4	10.47	1.634	1.59			
T	2021-03-07 07:57:44	51.483886000	-0.006806000	4.4	4.09	1.638	4.08			
T	2021-03-07 07:57:45	51.483903000	-0.006785000	4.4	6.98	1.641	2.39			
T	2021-03-07 07:57:46	51.483921000	-0.006752000	4.4	5.48	1.644	3.04			
T	2021-03-07 07:57:47	51.483942000	-0.006693000	4.4	3.53	1.649	4.72			
T	2021-03-07 07:57:48	51.483949000	-0.006670000	4.5	9.38	1.650	1.78			
T	2021-03-07 07:57:49	51.483967000	-0.006627000	4.5	4.63	1.654	3.60			
T	2021-03-07 07:57:50	51.483981000	-0.006587000	4.5	5.23	1.657	3.19			
T	2021-03-07 07:57:51	51.483993000	-0.006547000	4.5	5.41	1.660	3.08			
T	2021-03-07 07:57:52	51.484005000	-0.006494000	4.5	4.26	1.664	3.92			
T	2021-03-07 07:57:53	51.484010000	-0.006474000	4.5	11.14	1.666	1.50			
T	2021-03-07 07:57:54	51.484031000	-0.006431000	4.5	4.39	1.669	3.79			
T	2021-03-07 07:57:55	51.484038000	-0.006413000	4.5	11.31	1.671	1.47			
T	2021-03-07 07:57:56	51.484046000	-0.006371000	4.5	5.46	1.674	3.05			
T	2021-03-07 07:57:57	51.484058000	-0.006326000	4.5	4.90	1.677	3.40			
T	2021-03-07 07:57:58	51.484079000	-0.006278000	4.5	4.09	1.681	4.07			
T	2021-03-07 07:57:59	51.484087000	-0.006265000	4.5	13.14	1.683	1.27			
T	2021-03-07 07:58:00	51.484097000	-0.006218000	4.5	4.83	1.686	3.45			
T	2021-03-07 07:58:01	51.484103000	-0.006201000	4.5	12.29	1.688	1.36			
T	2021-03-07 07:58:02	51.484121000	-0.006146000	4.6	3.86	1.692	4.31			
T	2021-03-07 07:58:03	51.484131000	-0.006130000	4.6	10.60	1.693	1.57			
T	2021-03-07 07:58:04	51.484140000	-0.006087000	4.6	5.29	1.697	3.15			
T	2021-03-07 07:58:05	51.484152000	-0.006042000	4.6	4.90	1.700	3.40			
T	2021-03-07 07:58:06	51.484170000	-0.005983000	4.6	3.65	1.705	4.56			
T	2021-03-07 07:58:07	51.484177000	-0.005960000	4.6	9.38	1.706	1.78			
T	2021-03-07 07:58:08	51.484196000	-0.005910000	4.6	4.10	1.710	4.07			
T	2021-03-07 07:58:09	51.484199000	-0.005888000	4.6	10.65	1.712	1.56			
T	2021-03-07 07:58:10	51.484220000	-0.005838000	4.6	3.98	1.716	4.19			
T	2021-03-07 07:58:11	51.484224000	-0.005816000	4.5	10.47	1.718	1.59			
T	2021-03-07 07:58:12	51.484248000	-0.005769000	4.5	3.95	1.722	4.22			
T	2021-03-07 07:58:13	51.484255000	-0.005754000	4.5	12.81	1.723	1.30			
T	2021-03-07 07:58:14	51.484270000	-0.005712000	4.5	4.96	1.727	3.36			
T	2021-03-07 07:58:15	51.484270000	-0.005696000	4.5	15.00	1.728	1.11			
T	2021-03-07 07:58:16	51.484279000	-0.005647000	4.5	4.70	1.731	3.55			
T	2021-03-07 07:58:17	51.484279000	-0.005632000	4.5	16.00	1.732	1.04			
T	2021-03-07 07:58:18	51.484292000	-0.005578000	4.5	4.15	1.736	4.02			
T	2021-03-07 07:58:19	51.484297000	-0.005556000	4.5	10.25	1.738	1.63			
T	2021-03-07 07:58:20	51.484320000	-0.005519000	4.5	4.60	1.742	3.63			
T	2021-03-07 07:58:21	51.484327000	-0.005476000	4.5	5.40	1.745	3.09			
T	2021-03-07 07:58:22	51.484348000	-0.005441000	4.5	4.94	1.748	3.37			
T	2021-03-07 07:58:23	51.484363000	-0.005397000	4.5	4.79	1.752	3.48			
T	2021-03-07 07:58:24	51.484387000	-0.005350000	4.5	3.95	1.756	4.22			
T	2021-03-07 07:58:25	51.484395000	-0.005336000	4.5	12.64	1.757	1.32			
T	2021-03-07 07:58:26	51.484398000	-0.005292000	4.5	5.42	1.760	3.07			
T	2021-03-07 07:58:27	51.484422000	-0.005249000	4.6	4.16	1.764	4.01			
T	2021-03-07 07:58:28	51.484432000	-0.005231000	4.6	9.96	1.766	1.67			
T	2021-03-07 07:58:29	51.484445000	-0.005176000	4.6	4.08	1.770	4.09			
T	2021-03-07 07:58:30	51.484452000	-0.005161000	4.6	12.81	1.771	1.30			
T	2021-03-07 07:58:31	51.484476000	-0.005123000	4.6	4.44	1.775	3.75			
T	2021-03-07 07:58:32	51.484492000	-0.005071000	4.6	4.14	1.779	4.03			
T	2021-03-07 07:58:33	51.484497000	-0.005051000	4.6	11.14	1.780	1.50			
T	2021-03-07 07:58:34	51.484513000	-0.004999000	4.6	4.14	1.784	4.03			
T	2021-03-07 07:58:35	51.484518000	-0.004979000	4.6	11.14	1.786	1.50			
T	2021-03-07 07:58:36	51.484539000	-0.004936000	4.7	4.39	1.790	3.79			
T	2021-03-07 07:58:37	51.484543000	-0.004919000	4.7	13.21	1.791	1.26			
T	2021-03-07 07:58:38	51.484558000	-0.004881000	4.7	5.34	1.794	3.12			
T	2021-03-07 07:58:39	51.484572000	-0.004818000	4.7	3.59	1.799	4.65			
T	2021-03-07 07:58:40	51.484571000	-0.004789000	4.7	8.26	1.801	2.02			
T	2021-03-07 07:58:41	51.484595000	-0.004738000	4.8	3.76	1.805	4.44			
T	2021-03-07 07:58:42	51.484604000	-0.004717000	4.8	9.42	1.807	1.77			
T	2021-03-07 07:58:43	51.484607000	-0.004664000	4.8	4.51	1.811	3.70			
T	2021-03-07 07:58:44	51.484600000	-0.004645000	4.9	10.88	1.812	1.53			
T	2021-03-07 07:58:45	51.484579000	-0.004606000	4.9	4.66	1.816	3.58			
T	2021-03-07 07:58:46	51.484549000	-0.004590000	5.0	4.74	1.819	3.52			
T	2021-03-07 07:58:47	51.484513000	-0.004564000	5.0	3.79	1.824	4.39			
T	2021-03-07 07:58:48	51.484502000	-0.004549000	5.0	10.37	1.825	1.61			
T	2021-03-07 07:58:49	51.484475000	-0.004545000	5.0	5.52	1.828	3.02			
T	2021-03-07 07:58:50	51.484448000	-0.004501000	5.0	3.89	1.833	4.29			
T	2021-03-07 07:58:51	51.484436000	-0.004478000	5.0	8.00	1.835	2.08			
T	2021-03-07 07:58:52	51.484402000	-0.004463000	5.0	4.25	1.839	3.92			
T	2021-03-07 07:58:53	51.484392000	-0.004450000	5.0	11.63	1.840	1.43			
T	2021-03-07 07:58:54	51.484366000	-0.004413000	5.0	4.31	1.844	3.87			
T	2021-03-07 07:58:55	51.484362000	-0.004394000	5.0	11.97	1.845	1.39			
T	2021-03-07 07:58:56	51.484369000	-0.004324000	4.9	3.38	1.850	4.92			
